Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2020-07-20	226	456	130	23	30	14	230	2	200	1.048	126	11	12	31	48	27	2.614
2020-07-21	328	494	125	23	30	14	221	5	208	1.092	122	11	23	37	50	26	2.809
2020-07-22	331	488	132	30	34	14	207	7	222	1.092	107	12	22	32	50	22	2.802
2020-07-23	294	476	131	39	30	21	234	10	225	1.125	114	16	20	38	56	14	2.843
2020-07-24	401	442	148	50	32	40	251	21	256	1.203	106	14	21	37	61	21	3.104
2020-07-25	406	494	190	46	33	51	270	36	255	1.306	106	20	25	32	59	19	3.348
2020-07-26	350	466	205	39	28	63	269	35	185	1.333	103	20	25	31	62	19	3.233
2020-07-27	325	641	215	39	27	79	265	34	192	1.323	104	21	24	33	59	24	3.405
2020-07-28	367	656	203	31	31	79	299	36	220	1.430	91	21	19	33	69	26	3.611
2020-07-29	435	676	220	22	33	82	336	38	170	1.470	89	22	22	28	101	29	3.773
2020-07-30	409	707	274	19	36	75	354	46	194	1.537	96	22	28	34	106	31	3.968
2020-07-31	430	714	268	23	41	93	367	38	217	1.626	96	20	25	36	125	22	4.141
2020-08-01	369	735	290	27	39	90	360	24	258	1.676	115	23	25	37	137	28	4.233
2020-08-02	317	594	317	26	35	75	414	31	245	1.715	101	26	24	42	142	23	4.127
2020-08-03	299	586	323	26	35	102	434	33	277	1.803	108	28	23	39	139	23	4.278
2020-08-04	406	634	320	28	35	103	434	31	315	1.936	131	31	22	39	143	33	4.641
2020-08-05	402	631	289	28	32	105	425	37	296	1.990	141	29	30	33	139	32	4.639
2020-08-06	363	722	310	36	29	101	397	45	297	2.052	169	29	33	32	128	40	4.783
2020-08-07	340	750	315	30	24	124	473	44	357	2.148	190	24	49	25	138	46	5.077
2020-08-08	341	696	336	48	19	184	522	61	367	2.174	212	34	87	30	123	47	5.281
2020-08-09	316	632	351	50	21	221	572	56	341	2.180	220	36	84	27	115	49	5.271
2020-08-10	329	607	361	48	22	229	585	55	356	2.231	275	38	82	29	110	50	5.407
2020-08-11	377	578	355	50	23	201	594	56	377	2.348	270	50	92	34	126	45	5.576
2020-08-12	391	646	410	45	29	222	580	55	389	2.374	305	55	96	35	159	62	5.853
2020-08-13	491	784	467	46	30	190	597	43	364	2.460	289	45	94	46	181	62	6.189
2020-08-14	522	861	383	61	30	176	653	33	424	2.571	343	57	72	47	173	66	6.472
2020-08-15	598	986	500	54	35	172	732	33	381	2.659	320	60	75	55	187	67	6.914
2020-08-16	598	980	522	51	38	166	699	31	384	2.612	292	69	76	58	192	69	6.837
2020-08-17	606	1.048	531	56	41	160	734	32	412	2.694	306	68	75	56	192	70	7.081
2020-08-18	749	1.175	503	54	39	142	828	29	388	2.743	325	62	67	50	175	62	7.391
2020-08-19	852	1.406	476	66	46	137	897	27	406	2.640	391	62	65	46	142	52	7.711
2020-08-20	959	1.595	400	60	55	119	928	27	471	2.490	430	78	65	48	130	47	7.902
2020-08-21	1.076	1.676	388	67	57	126	974	25	545	2.133	436	63	66	49	129	43	7.853
2020-08-22	1.261	1.864	420	85	58	122	972	19	595	2.293	464	61	69	53	114	48	8.498
2020-08-23	1.369	1.817	450	83	59	112	1.089	21	572	2.153	442	70	81	54	108	48	8.528
2020-08-24	1.479	1.853	458	78	60	139	1.110	22	595	2.113	462	72	83	54	108	52	8.738
2020-08-25	1.450	1.835	416	70	62	151	1.073	21	586	2.018	409	69	74	53	114	57	8.458
2020-08-26	1.501	1.881	407	74	59	145	1.146	20	514	2.002	383	65	71	57	129	51	8.505
2020-08-27	1.492	1.913	417	76	67	137	1.018	18	498	1.891	364	56	79	54	127	59	8.266
2020-08-28	1.518	1.967	385	75	74	139	930	16	500	1.888	338	55	101	50	122	53	8.211
2020-08-29	1.518	1.967	385	75	74	139	930	16	500	1.888	338	55	101	50	122	53	8.211
2020-08-30	1.571	1.889	445	60	93	149	754	14	515	1.648	343	73	119	47	116	69	7.905
2020-08-31	1.597	1.931	450	57	89	150	733	13	550	1.594	366	72	118	46	117	69	7.952
2020-09-01	1.543	1.839	435	50	90	140	725	11	481	1.651	359	67	137	48	112	68	7.756
2020-09-02	1.477	1.816	450	36	92	163	653	10	463	1.613	371	64	147	40	102	67	7.564
2020-09-03	1.426	1.626	435	38	95	165	627	14	466	1.567	355	65	159	42	107	68	7.255
2020-09-04	1.404	1.525	459	30	92	192	640	16	498	1.544	350	59	162	40	106	60	7.177
2020-09-05	1.451	1.573	448	46	79	210	590	17	498	1.560	299	54	179	40	97	55	7.196
2020-09-06	1.438	1.719	493	49	78	204	658	16	461	1.569	254	45	179	41	96	52	7.352
2020-09-07	1.458	1.891	512	52	80	185	664	15	478	1.608	269	47	178	37	93	60	7.627
2020-09-08	1.552	2.125	455	59	74	200	669	26	496	1.617	300	44	126	39	103	59	7.944
2020-09-09	1.530	2.114	474	67	72	170	660	28	482	1.543	302	50	127	31	105	55	7.810
2020-09-10	1.500	2.396	459	64	58	213	698	29	495	1.589	343	48	160	42	108	66	8.268
2020-09-11	1.500	2.396	459	64	58	213	698	29	495	1.589	343	48	160	42	108	66	8.268
2020-09-12	1.440	2.415	529	66	61	266	663	30	524	1.619	323	32	202	49	99	79	8.397
2020-09-13	1.341	2.255	520	64	63	275	682	25	520	1.666	344	43	206	53	95	90	8.242
2020-09-14	1.423	2.328	532	65	65	254	696	24	557	1.738	363	44	241	67	100	93	8.590
2020-09-15	1.269	2.324	486	63	64	253	677	28	557	1.982	326	46	243	70	104	114	8.606
2020-09-16	1.456	2.275	538	65	71	267	685	33	620	2.199	341	45	236	58	116	123	9.128
2020-09-17	1.462	2.567	555	76	77	245	721	37	606	2.260	352	57	247	65	115	136	9.578
2020-09-18	1.563	2.459	560	59	65	242	725	46	777	2.457	358	58	260	57	138	136	9.960
2020-09-19	1.645	2.573	658	71	71	251	767	48	827	2.674	323	60	273	49	161	148	10.599
2020-09-20	1.580	2.550	763	71	83	297	743	42	840	2.739	317	59	252	86	174	139	10.735
